country_name,date,parameter,product,value,unit
Serbia,6/1/2021,Net Electricity Production,Natural Gas,60.348,GWh
Serbia,6/1/2021,Net Electricity Production,Combustible Renewables,17.2179,GWh
Serbia,6/1/2021,Net Electricity Production,Other Combustible Non-Renewables,0.3972,GWh
Serbia,6/1/2021,Net Electricity Production,Hydro,984.2549,GWh
Serbia,6/1/2021,Net Electricity Production,Wind,44.0963,GWh
Serbia,6/1/2021,Net Electricity Production,Solar,1.733,GWh
Serbia,6/1/2021,Net Electricity Production,Geothermal,0,GWh
Serbia,6/1/2021,Net Electricity Production,Other Renewables,0,GWh
Serbia,6/1/2021,Net Electricity Production,Not Specified,0,GWh
Serbia,6/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1047.3022,GWh
Australia,5/1/2021,Net Electricity Production,Electricity,21339.7051,GWh
Australia,5/1/2021,Net Electricity Production,Nuclear,0,GWh
Australia,5/1/2021,Net Electricity Production,Total Combustible Fuels,15754.5833,GWh
Australia,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",11181.7858,GWh
Australia,5/1/2021,Net Electricity Production,Oil and Petroleum Products,370.4093,GWh
Australia,5/1/2021,Net Electricity Production,Natural Gas,3955.4906,GWh
Australia,5/1/2021,Net Electricity Production,Combustible Renewables,246.8976,GWh
Australia,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,0,GWh
Australia,5/1/2021,Net Electricity Production,Hydro,1558.2958,GWh
Australia,5/1/2021,Net Electricity Production,Wind,2100.2659,GWh
Australia,5/1/2021,Net Electricity Production,Solar,1926.5601,GWh
Australia,5/1/2021,Net Electricity Production,Geothermal,0,GWh
Australia,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Australia,5/1/2021,Net Electricity Production,Not Specified,0,GWh
Australia,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",5832.0194,GWh
Australia,5/1/2021,Total Imports,Electricity,0,GWh
Australia,5/1/2021,Total Exports,Electricity,0,GWh
Australia,5/1/2021,Used for pumped storage,Electricity,76.5375,GWh
Australia,5/1/2021,Distribution Losses,Electricity,932.5366,GWh
Australia,5/1/2021,Final Consumption (Calculated),Electricity,20330.631,GWh
Austria,5/1/2021,Net Electricity Production,Electricity,6708.3318,GWh
Austria,5/1/2021,Net Electricity Production,Nuclear,0,GWh
Austria,5/1/2021,Net Electricity Production,Total Combustible Fuels,1010.0463,GWh
Austria,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",195.0093,GWh
Austria,5/1/2021,Net Electricity Production,Oil and Petroleum Products,59.1903,GWh
Austria,5/1/2021,Net Electricity Production,Natural Gas,335.8897,GWh
Austria,5/1/2021,Net Electricity Production,Combustible Renewables,362.6363,GWh
Austria,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,57.3207,GWh
Austria,5/1/2021,Net Electricity Production,Hydro,4630.7788,GWh
Austria,5/1/2021,Net Electricity Production,Wind,751.761,GWh
Austria,5/1/2021,Net Electricity Production,Solar,314.4113,GWh
Austria,5/1/2021,Net Electricity Production,Geothermal,0.0025,GWh
Austria,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Austria,5/1/2021,Net Electricity Production,Not Specified,1.332,GWh
Austria,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",6059.5899,GWh
Austria,5/1/2021,Total Imports,Electricity,1261.7164,GWh
Austria,5/1/2021,Total Exports,Electricity,1763.4978,GWh
Austria,5/1/2021,Used for pumped storage,Electricity,510.6999,GWh
Austria,5/1/2021,Distribution Losses,Electricity,230.9039,GWh
Austria,5/1/2021,Final Consumption (Calculated),Electricity,5464.9465,GWh
Belgium,5/1/2021,Net Electricity Production,Electricity,7724.3854,GWh
Belgium,5/1/2021,Net Electricity Production,Nuclear,3822.7141,GWh
Belgium,5/1/2021,Net Electricity Production,Total Combustible Fuels,2101.9147,GWh
Belgium,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",187.7914,GWh
Belgium,5/1/2021,Net Electricity Production,Oil and Petroleum Products,12.5126,GWh
Belgium,5/1/2021,Net Electricity Production,Natural Gas,1512.6554,GWh
Belgium,5/1/2021,Net Electricity Production,Combustible Renewables,284.1536,GWh
Belgium,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,104.8017,GWh
Belgium,5/1/2021,Net Electricity Production,Hydro,32.0062,GWh
Belgium,5/1/2021,Net Electricity Production,Wind,983.4805,GWh
Belgium,5/1/2021,Net Electricity Production,Solar,751.0118,GWh
Belgium,5/1/2021,Net Electricity Production,Geothermal,0,GWh
Belgium,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Belgium,5/1/2021,Net Electricity Production,Not Specified,33.258,GWh
Belgium,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2050.6522,GWh
Belgium,5/1/2021,Total Imports,Electricity,1376.2387,GWh
Belgium,5/1/2021,Total Exports,Electricity,2031.9434,GWh
Belgium,5/1/2021,Used for pumped storage,Electricity,7.2466,GWh
Belgium,5/1/2021,Distribution Losses,Electricity,290.4211,GWh
Belgium,5/1/2021,Final Consumption (Calculated),Electricity,6771.013,GWh
Canada,5/1/2021,Net Electricity Production,Electricity,48126.371,GWh
Canada,5/1/2021,Net Electricity Production,Nuclear,7557.1472,GWh
Canada,5/1/2021,Net Electricity Production,Total Combustible Fuels,8194.6913,GWh
Canada,5/1/2021,Net Electricity Production,"Coal, Peat and Manufactured Gases",2235.6828,GWh
Canada,5/1/2021,Net Electricity Production,Oil and Petroleum Products,277.8378,GWh
Canada,5/1/2021,Net Electricity Production,Natural Gas,5015.4241,GWh
Canada,5/1/2021,Net Electricity Production,Combustible Renewables,657.3094,GWh
Canada,5/1/2021,Net Electricity Production,Other Combustible Non-Renewables,8.437,GWh
Canada,5/1/2021,Net Electricity Production,Hydro,29155.367,GWh
Canada,5/1/2021,Net Electricity Production,Wind,2465.9689,GWh
Canada,5/1/2021,Net Electricity Production,Solar,718.8634,GWh
Canada,5/1/2021,Net Electricity Production,Geothermal,0,GWh
Canada,5/1/2021,Net Electricity Production,Other Renewables,0,GWh
Canada,5/1/2021,Net Electricity Production,Not Specified,34.3333,GWh
Canada,5/1/2021,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",32997.5087,GWh
Canada,5/1/2021,Total Imports,Electricity,868.533,GWh
Canada,5/1/2021,Total Exports,Electricity,5149.9272,GWh
Canada,5/1/2021,Used for pumped storage,Electricity,16.1514,GWh
Canada,5/1/2021,Distribution Losses,Electricity,2423.3432,GWh
Canada,5/1/2021,Final Consumption (Calculated),Electricity,41405.4822,GWh
